csvfile,Ensembl,Ensembl_no_version,Expression,logFC,AveExpr,t,P.Value,adj.P.Val,B
Age.csv,ENSG00000278467.1,ENSG00000278467,underexpressed,-0.523279360941672,2.63634827566046,-17.8151943750295,1.06051664679357e-65,2.16230122397323e-63,138.678705079786
Age.csv,ENSG00000207971.1,ENSG00000207971,underexpressed,-0.490396126418691,1.8785336445855,-17.7950742913843,1.4420046186884e-65,2.90850781046849e-63,138.373932288259
Age.csv,ENSG00000238446.1,ENSG00000238446,underexpressed,-0.448122309622119,1.6513430868998,-17.7706775302502,2.09237232445697e-65,4.17539575129403e-63,137.997147364715
Age.csv,ENSG00000229989.4,ENSG00000229989,underexpressed,-0.405118214059886,1.64764636594711,-17.7292901198272,3.93139846222341e-65,7.76264972151439e-63,137.367288036544
Age.csv,ENSG00000200974.1,ENSG00000200974,underexpressed,-0.533671963046092,1.88596203977115,-17.7052608199838,5.6672149672311905e-65,1.1073501912012799e-62,137.014918760772
Age.csv,ENSG00000262074.7,ENSG00000262074,underexpressed,-0.533379574433432,1.95722238214058,-17.6945090763269,6.67397353960718e-65,1.29062263562836e-62,136.852890185545
Age.csv,ENSG00000200840.1,ENSG00000200840,underexpressed,-0.616858092957807,2.23722112174178,-17.69201134411,6.932302846454121e-65,1.32689935503864e-62,136.81560966719
Age.csv,ENSG00000253944.1,ENSG00000253944,underexpressed,-0.467107040743415,2.33249477132038,-17.6690535255815,9.82642767324774e-65,1.86185990196749e-62,136.468650626365
Age.csv,ENSG00000275714.2,ENSG00000275714,underexpressed,-0.774619502773822,2.82801189609447,-17.6469785462128,1.37390238807411e-64,2.57716609954941e-62,136.131081153562
Age.csv,ENSG00000261573.1,ENSG00000261573,underexpressed,-0.68416370560907,2.42809153018273,-17.6146347964937,2.24385360401874e-64,4.16734711922608e-62,135.647333041796
Age.csv,ENSG00000202358.1,ENSG00000202358,underexpressed,-0.54795557724788,2.56592631740013,-17.6034925229,2.65656951104436e-64,4.8854834204088395e-62,135.477172875575
Age.csv,ENSG00000227200.1,ENSG00000227200,underexpressed,-0.482882917059027,2.09927652077121,-17.6010296824502,2.75755735911439e-64,5.02196708177357e-62,135.444064289887
